scorer,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
34,594.5568,598.1292,0.014785196,50.135647,599.99176,0.032988757,210.36009,496.32126,0.044747684,226.2198,483.50815,0.02667789,360.11917,474.9328,0.032748226,333.31967,527.63,0.05123726,124.27613,552.5757,0.07811787,80.09721,599.7362,0.06108266,376.3162,482.64014,0.07825442,377.22253,493.17575,0.029796986,384.4565,490.30606,0.12860309
35,306.25467,596.7553,0.032535367,144.08873,500.5337,0.0407302,241.35522,512.59454,0.076388076,227.43279,499.2987,0.046225358,371.60568,613.7334,0.027201816,147.92395,479.00928,0.05154553,139.27551,489.12262,0.15093619,367.64163,599.1776,0.068585835,139.37663,493.31653,0.07309057,258.46494,512.6296,0.042229593,145.48996,487.0266,0.15829137
36,258.59897,597.5002,0.024391387,50.082264,600.1504,0.042907383,178.65079,512.2976,0.09214105,163.07443,515.8552,0.043461215,563.5829,19.325106,0.031021707,355.60843,419.1894,0.04029309,184.46246,503.44724,0.12711507,353.15338,422.03543,0.0580669,6.398023,586.8499,0.097087786,359.696,414.4238,0.054407172,351.82907,407.41013,0.3507977
37,35.979206,598.59985,0.017079022,49.98005,600.2873,0.023312468,128.37859,512.59686,0.056670353,178.76794,579.621,0.038110994,81.23754,596.3963,0.028524471,332.11148,504.11353,0.039300885,253.63734,464.41788,0.04133584,352.16885,598.93384,0.056196783,5.6633615,586.6348,0.087663986,328.64804,355.73575,0.037872408,336.2992,345.99033,0.16508175
38,35.90519,598.44403,0.021724813,49.92805,600.205,0.027151974,259.02133,528.1878,0.036732517,291.9491,515.56134,0.029467223,146.95383,594.2703,0.03290386,315.4744,501.74417,0.056051355,312.50345,510.8216,0.12209122,352.24277,598.8371,0.050680052,315.1703,506.1408,0.10099253,272.42657,514.48706,0.032529216,203.52646,271.7461,0.33516055
39,305.51102,596.7866,0.031397518,352.06622,147.95918,0.038011022,305.53415,498.27155,0.047742404,223.30136,278.2248,0.030273793,304.706,506.02338,0.033628974,315.8269,483.623,0.056918204,313.96262,499.84378,0.12032279,138.90884,605.7019,0.052767757,5.6681643,586.8026,0.10086496,272.39893,514.2671,0.030762259,431.65665,519.1451,0.22379038
40,305.83374,597.0445,0.024529845,305.9768,605.64276,0.029063003,306.10297,513.60205,0.050729394,147.40067,585.9574,0.032796815,147.23889,593.9042,0.04422594,311.5864,501.37323,0.07203018,314.02133,512.1234,0.18446064,154.81847,605.8098,0.057109885,316.3112,506.01303,0.098194376,329.14804,332.76566,0.04283022,431.58334,519.3152,0.231221
41,162.20207,597.7299,0.022014938,191.4087,467.20508,0.039459143,210.33461,528.379,0.059625026,171.30392,444.58313,0.06061334,182.56133,444.83142,0.053131588,193.06767,449.26828,0.06973903,185.63971,458.30807,0.16893388,349.17258,348.03424,0.04123602,291.00903,473.32147,0.08587892,126.489815,588.66016,0.04453895,187.90486,447.63574,0.32658973
42,162.52959,598.2116,0.01448452,191.70279,467.70303,0.03513697,176.36775,472.3,0.078832865,171.94681,443.53278,0.059004344,182.0255,443.17603,0.07477046,193.31163,448.13104,0.0870155,185.98772,458.00687,0.20518894,225.25642,499.0922,0.042268544,196.25223,444.07498,0.076860614,203.64903,465.95895,0.050244607,188.89459,445.53992,0.24420689
43,194.26852,597.06146,0.02415937,49.93515,600.20984,0.03639529,273.4276,480.34738,0.050583955,210.67561,532.0968,0.029290421,209.69655,349.11786,0.03193344,315.48526,511.65775,0.042480692,155.22807,488.40082,0.096690655,352.48386,598.411,0.05254861,6.0060735,586.7529,0.08218011,225.5359,513.6225,0.033631198,222.57599,342.31885,0.35592237
