scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
20,300.64932,587.7093,0.037601776,13.140331,589.62976,0.065141015,613.09863,364.14172,0.039812595,52.042362,20.510496,0.056851257,19.998768,37.072598,0.062429246,26.979063,20.357817,0.06825786,484.28232,291.75525,0.077502914,577.8198,325.6458,0.060067967,547.8609,275.97574,0.04754449,443.3956,588.3113,0.079642326,605.92126,611.6341,0.035769615
21,596.6596,598.14435,0.042015746,13.178837,589.61646,0.06547827,565.11224,307.09625,0.040130466,51.95983,20.486017,0.05982148,43.700066,20.881735,0.06223276,26.990389,20.275162,0.067983575,468.21698,323.5343,0.08405228,577.7692,293.50687,0.06604512,524.14246,585.47406,0.038177297,539.61475,588.1298,0.09034622,590.8542,302.47046,0.033186164
22,37.050873,580.3138,0.03836379,13.206303,589.63574,0.06826443,532.38226,355.37857,0.043678254,51.976826,20.485277,0.057988383,20.006733,36.934536,0.061913807,26.970766,20.26879,0.06977604,452.16974,371.54254,0.10418648,577.74744,293.6398,0.058122028,508.00583,452.5097,0.03810414,427.37848,588.7231,0.090411745,590.9226,286.35086,0.030739129
23,37.269768,580.2547,0.036125448,13.227114,589.74347,0.0681908,315.72375,84.189,0.06486447,52.047142,20.527987,0.05721568,468.75317,356.31104,0.06425389,26.962603,20.2232,0.06733481,468.47662,355.65576,0.13684125,577.7271,293.62408,0.061927803,547.879,275.78983,0.037135683,12.566365,587.924,0.08116086,565.49225,284.6165,0.03094735
24,477.1163,588.33307,0.05645295,13.330315,589.9521,0.06791241,477.5744,588.55145,0.04173128,52.082108,20.441977,0.046736818,36.144974,36.44206,0.05562173,459.60782,598.0199,0.0770033,452.54382,307.69217,0.07609741,578.17096,293.2119,0.05222309,475.9263,586.12836,0.063892595,475.36362,596.3427,0.114230484,469.78412,601.6738,0.042498704
25,596.2484,598.30725,0.043834236,13.103503,589.5893,0.06442389,531.5432,339.89517,0.13332716,52.012768,20.397215,0.05408564,533.18304,356.41455,0.1156597,555.95917,596.88293,0.07183241,531.33124,340.63284,0.1841895,578.1075,309.73245,0.055625945,540.21643,341.3351,0.055881888,555.53174,588.156,0.101977006,606.0252,611.53217,0.04312684
26,596.4745,598.00006,0.04613197,13.141228,589.6324,0.067772396,612.99475,396.1692,0.040542528,51.978962,20.475706,0.059104625,36.059322,36.48512,0.06331215,27.01841,20.358076,0.069960065,583.106,308.72568,0.09015769,577.82574,309.82672,0.06747595,547.97064,291.80844,0.029377973,252.60648,603.6557,0.081798665,590.1873,611.2754,0.031201193
27,12.329883,36.394386,0.04047685,13.211928,589.72046,0.068332046,613.0828,396.2897,0.040658724,51.97772,20.488247,0.061056834,36.05779,36.47878,0.06468379,27.012495,20.389309,0.07049473,582.6757,308.68817,0.09551635,577.82623,309.74982,0.07715462,548.1845,292.05768,0.03686617,12.4065485,587.7484,0.07742049,590.1394,611.52997,0.033385467
28,12.333219,36.386574,0.039523337,13.213486,589.7228,0.06723642,612.93713,460.2644,0.037051782,51.98112,20.465275,0.063382655,43.693195,20.981354,0.064612456,27.015184,20.402134,0.06977646,598.3569,324.68164,0.08025824,577.6417,341.18716,0.063779056,467.80606,435.83755,0.02655863,12.437122,587.87,0.07841815,21.830853,132.50714,0.030857747
29,37.01875,580.2584,0.040157154,13.168175,589.6304,0.06741585,436.21338,323.79645,0.046199463,51.964573,20.441349,0.061784625,436.7655,324.63223,0.07448947,26.96115,20.396334,0.072014965,436.24332,323.65808,0.14651424,577.6862,309.63483,0.06762995,428.17618,308.5781,0.030969111,12.369909,587.78485,0.07604628,605.87756,611.6477,0.03918122
