scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
19,46.045494,45.537865,0.03880956,54.991245,597.0548,0.02968347,28.935825,605.3289,0.06182078,582.47,583.0133,0.030857993,53.12314,595.191,0.044251367,60.88605,589.7177,0.06693252,590.67676,585.96515,0.033563267,17.975597,595.6885,0.08110418,583.95123,593.13275,0.051123716,22.367645,596.85175,0.06889956,30.227638,597.44366,0.0559355
20,590.6034,350.15152,0.041031428,45.443703,45.904045,0.029742213,28.812218,605.30774,0.05763849,598.8055,583.4188,0.03251369,20.684324,613.21826,0.036086574,292.55786,417.74313,0.06416632,291.12778,425.66037,0.062172525,17.857971,595.75507,0.07397981,582.76306,578.3275,0.05374711,22.325699,596.98663,0.060286507,30.532768,597.61957,0.051443566
21,590.8109,222.22522,0.040276546,45.462173,45.93362,0.030032536,28.843193,605.2773,0.056835018,582.4967,583.0325,0.028121883,20.684526,613.2462,0.03662932,590.93005,587.20935,0.057515405,590.80164,585.8697,0.03278132,17.842836,595.7335,0.07263761,583.65,578.6625,0.050417755,22.322886,596.96936,0.056561545,30.537693,597.5951,0.049344845
22,46.033764,45.464672,0.03966438,500.94244,445.373,0.05991418,28.979162,605.3579,0.058580004,516.2788,420.09134,0.027080996,20.815372,613.2692,0.035714738,501.23953,432.74594,0.09926486,506.5758,440.71414,0.103410415,17.723644,595.61707,0.073767334,583.53766,578.61304,0.053398896,22.464813,596.94434,0.058900237,30.637745,597.7006,0.052188266
23,549.6182,581.42816,0.045564912,501.28516,411.84558,0.0525868,29.12355,605.2233,0.05794197,485.48297,429.6257,0.024214407,20.764166,613.2444,0.03549701,229.29472,209.24109,0.0755865,498.6157,418.30453,0.08680689,489.72876,412.40356,0.074948154,583.7325,593.36,0.051942214,22.51404,596.8828,0.055495575,518.17004,417.83014,0.05179178
24,46.28861,45.59243,0.039288186,45.61338,46.04548,0.033323627,29.109505,605.71857,0.07297565,596.20825,405.26978,0.024183197,52.963882,581.11316,0.07066943,37.803417,597.5443,0.11893333,425.39252,376.67892,0.07767114,18.073431,595.3836,0.115865834,26.966011,595.6124,0.074027255,22.327724,596.7659,0.101341546,22.469452,595.7303,0.08717974
25,591.07684,574.4237,0.042716365,533.2716,380.05838,0.10326503,28.6443,605.0443,0.045095872,582.57184,583.3869,0.049042195,20.576101,613.27155,0.034187734,547.1285,364.437,0.1149001,537.4341,373.14212,0.18352385,536.63635,374.3987,0.13066398,583.60065,592.0142,0.064043865,22.193306,596.8629,0.051527902,541.17993,377.37518,0.07160927
26,590.1905,357.70215,0.041699484,532.43396,380.28284,0.048976004,28.43561,604.8735,0.040349342,597.29065,22.598347,0.034328934,405.52783,358.6631,0.03639923,389.15826,335.93204,0.10720747,387.7514,338.4719,0.14147493,393.03342,329.8811,0.098088436,583.4604,592.5985,0.06292067,22.091042,596.8019,0.043560475,405.9052,337.07697,0.06760869
27,590.82666,334.24243,0.051704366,548.25024,589.425,0.0419761,28.464977,604.9691,0.04282223,597.15985,22.35371,0.027735727,20.66936,613.40796,0.034847833,324.85068,465.24094,0.08115247,323.85165,466.5743,0.09833147,582.5494,587.8065,0.057911627,583.5076,578.5026,0.058151353,22.17109,596.8441,0.04487492,593.0828,331.58405,0.04368515
28,590.5768,366.3774,0.04383965,548.2387,589.3372,0.03487972,29.230268,605.51324,0.066795476,582.49475,582.77216,0.030457595,52.912586,580.94037,0.045719765,31.632734,604.47205,0.08518486,298.9029,515.43427,0.06805895,17.890446,595.60767,0.09762702,584.10394,360.6756,0.049798448,22.357576,597.0797,0.0838232,29.874182,597.55695,0.07229156
