scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
20,20.122177,597.8445,0.039376497,316.02872,315.04587,0.038323488,18.67524,604.9748,0.034496043,33.916584,21.556406,0.04208765,594.5824,585.12585,0.04988791,585.099,595.1712,0.05135873,10.234445,593.6019,0.046845265,584.7833,585.4793,0.11762942,584.8323,592.50696,0.06959801,12.529261,19.87773,0.026008677,598.02466,579.20984,0.036778603
21,19.99521,597.80005,0.037541334,316.1008,315.0271,0.04283611,18.694176,21.64909,0.03221579,33.959038,21.43386,0.041618545,585.9695,585.3304,0.051500466,585.0677,595.09406,0.05454887,10.236907,593.67834,0.04065953,585.0231,593.3535,0.114529714,584.7743,592.5585,0.06900224,12.581391,19.813549,0.025323499,598.30096,579.2777,0.036568522
22,19.981369,597.5231,0.03626252,475.77072,219.56464,0.03139356,18.109419,38.349884,0.03090757,34.042442,21.370266,0.04330027,585.8804,585.23676,0.054567486,585.0895,594.8467,0.055153504,10.345504,593.81036,0.039886378,584.93085,593.14935,0.12175951,584.5897,592.4583,0.06977841,12.601522,19.817282,0.026543044,598.1858,579.2911,0.041359764
23,578.63324,597.0462,0.03535986,411.96057,251.25412,0.033482093,18.656698,21.638096,0.033150986,33.925903,21.548515,0.040456694,585.99133,585.34607,0.05233464,585.1957,595.1201,0.055188745,10.213588,593.3957,0.040473066,585.08075,593.29944,0.11705844,584.9052,592.70636,0.068667665,12.571467,19.834167,0.026631854,598.1378,579.2327,0.039110728
24,20.02286,597.5202,0.040143233,363.77927,267.54358,0.024698095,18.78504,605.19904,0.032566912,34.387154,21.199501,0.037134167,586.1853,585.4986,0.04723978,585.4408,595.07074,0.050967757,10.416706,593.6717,0.039525226,585.2375,593.6144,0.10806642,584.9634,592.91327,0.06636212,12.6881275,19.79657,0.020855557,598.3069,579.1513,0.037274618
25,20.003145,597.9416,0.035075877,355.41617,596.45026,0.027353799,18.578121,21.665659,0.034455817,33.973503,21.487974,0.041453972,585.9815,585.33453,0.05106822,585.2048,594.9607,0.056464802,10.033458,593.5356,0.04847433,585.04315,593.43585,0.11446552,584.6658,592.6051,0.069536924,12.684261,19.85568,0.029626407,598.3444,579.26324,0.03675112
26,20.091776,598.0713,0.038304385,299.93274,91.592514,0.030600455,18.61152,21.72092,0.034320902,33.91861,21.593891,0.046918366,585.72797,585.3461,0.053350344,585.01514,594.9896,0.055560738,9.970264,593.3705,0.047387365,584.8342,593.1981,0.11941676,584.622,592.5604,0.06984821,12.690266,19.879337,0.030841019,598.26154,579.3325,0.0391467
27,578.6025,597.0492,0.03643683,363.9048,91.30275,0.038804114,18.63078,21.70955,0.0340894,33.979717,21.59344,0.043268356,585.8559,585.34296,0.049801033,585.0461,595.06885,0.054741897,10.1492815,593.536,0.046255175,584.9386,593.3548,0.11893311,584.6084,592.5157,0.071353786,12.6727085,19.885653,0.029259063,598.35095,579.2036,0.03476233
28,578.6766,597.057,0.038173337,547.3797,595.9404,0.027637137,18.6223,21.67882,0.03410475,34.003616,21.494059,0.04126569,585.89667,585.27765,0.049666565,585.0297,595.1276,0.05416901,10.106853,593.49475,0.0467177,584.93896,593.3783,0.1178016,584.6519,592.5073,0.07360043,12.68763,19.869986,0.029531978,598.26764,579.15656,0.034616753
29,578.68274,597.05316,0.035700466,395.77713,203.23845,0.038389463,18.673122,21.710281,0.033919815,33.983215,21.470268,0.03746222,586.0301,585.34906,0.04893314,585.1615,595.12286,0.053861566,10.245831,593.4522,0.043566793,584.656,585.6359,0.11329024,584.79675,592.66516,0.07153756,12.698225,19.788033,0.030073162,598.3245,579.1375,0.036100533
