scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
19,305.07462,154.65442,0.8334437,303.22784,165.36804,0.69901824,227.76266,193.7814,0.54261297,207.86362,222.27345,0.683003,198.3772,245.09845,0.60997206,195.3872,263.40942,0.5788327,205.8574,275.53772,0.4259007,367.68524,172.20692,0.9651018,235.39612,260.33484,0.29579017,221.89847,181.77643,0.30585474,184.30736,255.58276,0.6212817
20,305.5561,153.94441,0.86107093,303.67093,164.3855,0.71781546,227.26192,195.23285,0.6256238,208.57593,222.7372,0.68688506,203.22348,242.05602,0.56426275,198.17018,261.65195,0.5279618,206.6348,273.89853,0.4444358,367.20312,171.87747,0.9598067,235.55576,260.25388,0.2829816,222.13536,182.97131,0.31822225,186.43631,255.1613,0.59999645
21,305.4459,153.45753,0.88620585,303.71915,164.12044,0.736678,228.26027,193.73195,0.5789494,209.98764,221.10562,0.6948599,206.49731,239.46217,0.54402447,202.83545,258.9265,0.47695982,209.91788,273.56458,0.4205459,368.68613,171.23775,0.975002,237.19461,259.3667,0.28756422,541.46924,482.64206,0.3108321,189.83322,253.93283,0.5785306
22,305.0416,152.97916,0.88339585,303.45908,164.0134,0.7300907,227.46117,194.06195,0.6023344,210.17719,220.94185,0.6715939,205.4007,235.87675,0.55507946,207.3209,256.90887,0.5033248,218.48834,272.5653,0.39453632,368.3732,170.88226,0.9781374,297.45633,443.69543,0.29583046,541.3936,482.4534,0.30035093,193.0177,252.3432,0.4502199
23,304.68997,153.3819,0.87327754,303.08563,164.48798,0.72376543,230.94554,190.6177,0.57395965,209.16231,220.1775,0.6638512,204.4721,234.73619,0.56742275,208.43948,254.3751,0.4162061,209.63637,262.24084,0.33925906,368.13037,170.54277,0.9843434,307.36594,558.17426,0.29170564,541.37415,482.57507,0.29784846,192.73892,249.0054,0.39538836
24,304.28662,153.88766,0.81342274,302.34357,164.96228,0.6475477,227.45581,193.58908,0.5089461,209.1513,221.47473,0.6982931,206.78244,238.7867,0.61185664,205.18883,258.27704,0.42849192,226.95554,306.86118,0.45341256,367.1272,171.99046,0.9442036,297.10715,444.43927,0.36303687,222.0049,182.93423,0.35777417,193.81006,251.94731,0.43380067
25,303.7058,154.65898,0.7726497,302.08755,165.72488,0.6207562,226.83298,193.2698,0.47736314,208.50128,220.92064,0.76021653,206.24919,239.37949,0.7052466,204.67867,259.13107,0.44519195,227.54727,306.45984,0.45226082,368.4144,172.24487,0.93547493,297.23358,444.41318,0.3792918,221.81734,183.0489,0.36192378,191.38931,252.9032,0.4867523
26,302.55746,155.0445,0.7794544,302.09738,166.36569,0.6227026,230.20909,193.04102,0.49339092,208.66876,221.13374,0.7846168,206.80289,239.38826,0.74035025,220.65163,277.42343,0.45470494,227.49966,305.02615,0.5175144,367.88882,170.55286,0.9173785,296.86157,444.36362,0.37648296,221.81833,183.76103,0.35576883,189.99237,254.4246,0.6363621
27,302.7473,155.92265,0.7795265,301.89203,167.21387,0.60054487,230.00835,193.6671,0.46041712,208.34705,220.00316,0.8089081,206.42213,236.83006,0.7579057,213.56969,276.54373,0.5757586,227.3804,304.72086,0.52216667,367.7091,170.69482,0.94510543,242.13423,262.0715,0.4129312,221.5536,183.97618,0.35287282,185.42787,257.0681,0.820808
28,302.55273,156.0552,0.79824734,301.4568,167.44579,0.6092529,226.20229,196.60492,0.48230526,207.05524,221.50891,0.8189247,204.63483,237.7599,0.7890227,213.11694,276.08783,0.51528865,227.09613,304.73236,0.51789755,367.25192,170.82486,0.94511396,241.418,261.26236,0.41729957,220.53987,186.24591,0.40255687,182.99399,256.5425,0.83730173
