scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
19,256.23453,164.62283,0.88738436,254.14401,182.67628,0.93859255,160.2531,218.03873,0.55404097,133.76968,245.56985,0.88792735,124.44175,266.4866,0.99200076,122.307,298.34326,0.7225106,126.97803,312.1527,0.56288064,308.10486,181.68915,1.0,204.2943,310.86765,0.84845924,211.65628,177.55148,0.6900572,108.69602,286.28937,0.77434045
20,254.5696,165.3315,0.8826336,254.2755,182.65692,0.92592806,160.52176,218.01488,0.55746263,133.74948,245.35329,0.8744673,124.289375,266.4866,0.98641205,120.26938,298.05664,0.79761696,125.03394,313.53552,0.6246151,308.1153,181.7932,1.0,204.23808,310.9155,0.84589684,211.46423,177.56453,0.69662035,108.05503,286.58875,0.7516342
21,254.39192,165.59557,0.8867599,254.1878,182.55826,0.93140143,160.36455,218.00435,0.56117415,133.43625,245.58012,0.88808715,124.037445,266.7546,0.9950541,121.08139,298.4464,0.7826381,125.87183,313.71906,0.60656077,308.21875,181.82677,1.0,204.67873,310.59418,0.871786,211.44534,177.6652,0.6981181,107.971,286.7915,0.76798123
22,254.30714,165.5286,0.88731074,254.05031,182.69366,0.92612267,160.2544,217.69107,0.5634453,133.40054,245.53757,0.8866369,124.13129,266.66843,0.9866043,121.42508,298.4286,0.78581655,126.33066,313.76025,0.60874355,308.10538,181.59828,1.0,204.72275,311.34103,0.86774075,211.47186,177.4348,0.6926618,108.469154,286.43076,0.772239
23,254.563,165.14713,0.87873614,254.05522,182.23805,0.9191245,160.64742,217.73206,0.55948764,133.353,245.42093,0.88637805,123.92597,266.72855,0.98786306,120.95237,298.6887,0.7933439,126.02068,314.2366,0.6035553,308.17636,181.84853,0.9987295,204.0089,310.49518,0.8592471,211.44727,177.58678,0.69413847,108.00248,286.44116,0.7707626
24,256.1474,165.00029,0.8800782,254.00322,182.84535,0.91462505,160.65869,218.46379,0.5668175,133.55908,245.94908,0.91879153,124.06898,267.69186,0.99100095,121.09506,297.139,0.78519696,125.47667,312.51224,0.626547,308.76248,182.19551,1.0,203.78783,309.57608,0.8841904,211.72023,177.55862,0.68692315,108.550766,287.03683,0.75082886
25,254.73509,165.44672,0.87246263,254.00652,182.72449,0.90860957,160.55562,218.36374,0.5652582,133.63458,245.78905,0.9035073,124.107086,267.41135,0.98274666,122.00696,297.5376,0.7535869,126.514336,312.6946,0.6094012,308.68613,182.31638,0.99046904,203.17365,309.38138,0.8931619,211.89365,177.55682,0.68710494,108.96311,286.64496,0.7523138
26,254.5307,165.52292,0.8672769,253.88559,182.72159,0.9055176,160.47287,218.37907,0.57015777,133.40192,245.85707,0.9156146,123.72411,267.5179,0.9957797,120.83817,297.91287,0.79006726,126.06589,313.3851,0.61263627,308.4889,182.21089,0.9903085,204.23573,309.7465,0.8882805,211.85658,177.62872,0.6834119,107.89824,287.0983,0.7676108
27,256.045,164.75142,0.8612314,253.78036,182.61734,0.90115106,160.30267,218.15367,0.57390815,133.61383,245.77608,0.9107456,124.07722,267.28778,1.0,121.47338,298.18228,0.7774257,126.534645,313.5578,0.60222936,308.4549,182.25261,0.98190844,205.00014,311.1718,0.88065946,211.9403,177.47928,0.67833614,108.16052,287.07864,0.7651586
28,256.08813,164.63681,0.86357564,253.92033,182.6222,0.9004569,160.5094,218.07913,0.5755158,133.68959,245.86604,0.9097795,124.1487,267.35272,0.9974412,121.23972,298.06375,0.7549505,126.30851,313.23926,0.59422916,308.4638,182.0527,0.98960716,204.54958,310.35327,0.871286,211.69208,177.44547,0.6798069,108.16362,286.9704,0.7629299
