scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
20,222.77643,232.18024,0.718725,221.10654,256.4616,0.78660107,142.518,317.0539,0.6083865,111.11884,355.421,0.8676901,101.053085,375.71643,0.9352019,99.50588,409.3533,0.8251801,105.506165,426.63132,0.79021674,281.32657,256.93652,0.7998837,187.66339,412.72302,0.81677777,178.34079,240.46962,0.87171215,86.411575,381.3855,0.7384908
21,222.87425,232.09166,0.7229008,221.23294,256.34802,0.77654743,142.22948,317.22116,0.61003214,110.89267,355.47665,0.8499525,101.1067,375.63113,0.90641713,99.072845,408.61197,0.82717127,104.69996,425.77362,0.7788551,281.3387,257.02008,0.8016244,187.66501,412.2962,0.8066624,178.50592,240.38144,0.86644024,86.50815,381.8892,0.7402625
22,222.84004,232.36243,0.72461164,221.1545,256.5154,0.7811878,142.35838,317.1637,0.60594803,111.074974,355.4838,0.8623654,101.20719,375.69434,0.92997414,99.89033,409.51404,0.8378218,106.0872,427.07306,0.82301205,281.3428,256.979,0.79772156,187.59769,412.297,0.80081207,178.451,240.28995,0.87134665,86.54495,381.7805,0.766407
23,222.68134,232.31609,0.7297174,221.16676,256.28574,0.7901678,142.44801,316.97882,0.6074898,111.12376,355.30493,0.85619414,101.265945,375.54358,0.92887,99.93603,409.78027,0.8314576,105.48155,426.7017,0.80167246,281.26315,256.90002,0.7913261,188.0887,412.55438,0.81426674,178.39655,240.23042,0.8627683,86.583305,381.7609,0.7642697
24,222.77106,232.3656,0.7197844,221.1851,256.40552,0.7618325,142.34814,316.60498,0.6400711,111.31367,355.87625,0.81613857,101.34107,375.52625,0.9033508,98.36898,408.85385,0.8222113,104.07252,425.49985,0.7749445,281.41382,256.9267,0.7923925,186.52051,412.40134,0.8147139,178.62746,240.52,0.8733505,86.678856,381.05582,0.7251144
25,222.68765,232.07959,0.72518086,221.23582,256.14282,0.769492,142.23512,316.8835,0.6351524,111.45609,355.5804,0.85777044,101.26357,375.70642,0.93310696,99.81091,409.70093,0.80166346,107.33398,427.82196,0.81513715,281.1968,257.09348,0.79997855,185.9601,412.86804,0.8126639,178.75665,240.46881,0.87035275,86.76993,381.61713,0.73894775
26,222.81503,232.18237,0.7216772,221.11617,256.1369,0.76676726,142.60474,316.98785,0.6331413,111.48762,355.59387,0.8592845,101.38457,375.7545,0.9261359,99.61573,409.48718,0.8104566,106.57479,427.38626,0.82422906,281.281,256.9706,0.7908017,186.36548,413.43176,0.7999664,178.83113,240.51718,0.85793597,86.57166,382.28305,0.7319124
27,222.80708,232.36449,0.71884096,221.01624,256.22,0.76258737,142.55246,316.79385,0.6424456,111.28279,355.50296,0.8912717,101.191895,375.62585,0.94803214,99.350975,409.438,0.79248273,106.069214,426.9486,0.77493507,281.25937,257.0366,0.79678893,186.60532,413.26956,0.7922183,178.70372,240.42233,0.86080235,86.637085,381.52112,0.7150392
28,222.78654,232.53743,0.7210042,221.03685,256.28967,0.77113336,142.63417,316.71454,0.63671476,111.1318,355.62454,0.87827337,100.97714,375.8964,0.9336751,99.51532,409.33878,0.8035895,105.93915,426.1134,0.76874584,281.11447,256.94366,0.79755974,186.29759,413.05658,0.82712704,178.67159,240.33336,0.865065,86.60436,381.8747,0.7246651
29,223.06119,232.65822,0.7208396,221.20522,256.25967,0.76367354,142.72328,317.03412,0.6406508,111.47576,355.86783,0.901012,101.07209,376.24286,0.96301335,99.81396,409.36902,0.7990514,105.82307,425.23047,0.73541945,281.42303,256.88968,0.79369086,186.57253,412.80942,0.81717694,178.71774,240.22897,0.856717,86.4995,382.42493,0.7305014
