scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
20,217.13,238.72675,0.82617885,221.91013,253.26004,0.86496025,173.6924,326.03043,1.0,157.6273,362.6122,0.89708513,155.47972,382.31015,0.8074039,152.58112,419.53238,1.0,161.0094,435.8576,1.0,286.63947,253.91452,0.643906,246.36446,400.1772,0.73284334,174.86742,249.57805,0.63856685,129.0939,392.96817,0.98142165
21,220.14272,237.91028,0.82408667,223.1286,252.91776,0.83816534,175.57887,327.41553,1.0,159.09108,362.80908,1.0,157.5977,382.08862,0.8424067,153.10718,420.41263,0.9911297,161.9197,435.95782,0.99610704,288.3716,252.83304,0.7596001,246.56966,402.03308,0.7489899,176.41985,250.17448,0.69498044,129.69556,393.93442,0.97752
22,221.73784,237.27048,0.7908495,224.33801,252.47687,0.8722854,177.27852,328.1594,1.0,161.04745,365.60928,0.9538241,161.15755,384.7631,0.88450783,155.28174,421.87708,0.9182063,161.6581,436.0406,0.97181654,290.40192,252.62785,0.78757,248.08151,402.76584,0.77875036,178.16481,249.72867,0.7736682,131.6532,398.21118,0.92577255
23,220.75478,240.12262,0.80868113,225.17038,252.4578,0.8962754,179.19148,328.5436,0.9913802,162.31123,365.4529,0.9822201,162.15263,385.8018,0.94137985,154.73894,424.1159,0.8589474,163.46495,438.09412,0.94694746,292.00162,252.64694,0.8056924,247.93106,403.7145,0.83229053,179.06267,250.0537,0.82314706,132.23566,398.97894,0.9286616
24,223.71272,240.0799,0.8543817,226.74281,252.39992,0.96676695,180.47992,329.2975,0.92781794,164.78741,367.19647,0.77475995,162.34857,388.74,0.76817995,157.05267,423.5803,0.8973705,166.79132,441.1587,0.9770445,293.5756,252.5545,0.83027375,253.77814,403.3046,0.6752854,180.30286,250.04211,0.8639312,132.37228,398.55438,0.9473245
25,225.25471,239.96005,0.8890466,227.86905,252.8794,0.9837116,181.89212,330.6527,0.87255466,164.87743,370.8508,0.78242314,163.279,390.35895,0.83583087,157.49155,425.48917,0.9479361,168.41577,441.79047,0.9600258,294.8944,252.4459,0.828467,253.95392,404.38565,0.73326886,180.89801,250.03616,0.8806757,134.007,400.25125,0.97519654
26,225.86482,240.28908,0.89019144,228.31918,253.63676,0.9758118,183.43088,331.1253,0.8497296,166.43079,372.2636,0.7515111,164.56729,391.3485,0.75269884,159.71141,428.4569,0.97443426,169.07574,441.9567,0.97743434,296.95206,252.62689,0.831942,254.88933,405.71924,0.74241865,181.46393,249.2887,0.90871024,133.01959,401.24216,0.96968615
27,225.90895,241.16628,0.93552417,229.90887,255.00206,0.9537933,184.01787,333.2327,0.8700405,168.49704,373.06042,0.7524142,166.66887,392.08896,0.7244104,161.684,429.72073,0.9706966,170.80582,443.5018,0.9575301,297.71533,252.89764,0.8454103,255.39488,407.6028,0.70580244,180.99435,249.8394,0.92807716,134.56393,401.0064,0.96088666
28,227.27016,241.35114,0.96049577,232.37253,254.60007,0.9535872,185.14845,333.53384,0.86379445,169.92465,373.8732,0.7908112,168.52715,393.05646,0.7142712,161.49493,427.96024,0.993622,172.26184,444.65488,0.9291641,296.59552,252.78157,0.82911956,256.87137,408.3435,0.674293,181.36841,249.80183,0.9541988,135.16432,401.93997,0.95643705
29,227.87408,241.98853,0.98201305,232.85034,255.10591,0.97309345,184.47647,331.21503,0.8724449,170.19844,374.05084,0.80931145,168.69633,393.07755,0.7213744,162.49318,427.99756,1.0,170.38281,445.22748,0.9393202,297.3127,252.77547,0.8419638,256.22937,409.5934,0.60229254,181.88501,249.70308,0.95541114,135.82474,402.7905,0.9668147
