scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
24,392.0611,223.02335,0.99654174,386.648,240.48003,1.0,417.42496,300.8925,1.0,418.2988,342.30453,0.96358645,419.78116,361.75302,0.95949334,409.2679,406.59637,0.77067745,408.37173,423.84836,0.9183122,433.3658,230.78055,1.0,450.75266,378.55487,0.9861903,314.56607,227.19656,0.87399584,335.07492,373.04346,0.95903057
25,392.2629,223.13596,1.0,386.75415,240.24745,1.0,417.10495,300.74213,1.0,418.30176,342.33182,0.97001684,419.5117,361.73825,0.95558184,410.02924,407.5005,0.7591289,408.42606,424.33157,0.9027281,433.19818,230.82227,1.0,450.45206,379.20087,0.9972612,313.72092,226.26695,0.870771,335.08456,373.6173,0.9634806
26,392.4355,222.72829,1.0,386.94528,239.95958,1.0,417.24722,300.6227,1.0,418.60373,342.4204,0.97979015,419.9425,361.81216,0.9402564,409.8633,407.90903,0.7846451,408.59863,425.28326,0.8903814,433.28418,230.948,1.0,450.04584,379.1909,0.97704417,313.5296,225.91585,0.87788826,335.1965,374.032,0.94745266
27,392.33273,222.54538,1.0,387.07288,239.71939,1.0,417.0542,300.49228,1.0,418.4102,342.21835,0.9809694,419.70932,361.78214,0.9571072,409.08936,407.47144,0.81028116,407.67743,424.83234,0.94469637,433.37634,230.9472,1.0,449.99112,379.0686,0.98785627,314.0162,226.21133,0.87076783,335.17065,372.5558,0.95800745
28,392.32043,222.56673,1.0,387.05432,240.00706,1.0,416.76672,299.75485,1.0,418.03558,341.88504,0.9699247,419.66568,361.54437,0.9479786,408.99655,407.22583,0.81384516,407.9497,424.55807,0.9428597,433.4029,230.93677,1.0,449.97885,379.37485,1.0,314.174,225.69496,0.85554385,336.45663,373.51694,0.9532964
29,392.3772,221.86545,1.0,387.14133,239.59877,1.0,417.11908,299.49545,1.0,416.60434,343.53632,0.95245725,419.68985,362.37524,0.967633,409.0825,407.22952,0.79634756,407.96536,424.61304,0.9332931,433.21677,230.79866,1.0,449.94998,378.59323,0.981207,314.23618,224.82901,0.8682037,335.47116,372.15518,0.9036148
30,392.28714,221.83612,0.9928005,386.94574,239.68181,1.0,417.06274,299.49026,1.0,416.61276,343.27316,0.9587094,419.5439,362.18372,0.9732854,408.6241,407.3856,0.7518847,408.16672,425.78394,0.86673874,433.35614,230.71109,1.0,449.873,378.28876,0.9549104,313.79932,225.76337,0.89471835,336.1705,372.04648,0.91111475
31,392.14862,221.47676,0.9817379,387.0748,239.54576,1.0,417.49545,299.30325,1.0,416.38455,343.00015,0.9723416,419.5263,361.97916,1.0,409.22992,407.0961,0.7971762,408.2025,424.87164,0.8929653,433.15466,230.20984,1.0,450.1531,378.13257,0.9898553,313.76663,225.9596,0.90682584,336.4579,371.04245,0.9341056
32,391.91144,221.44847,0.99258184,387.0489,239.87534,1.0,417.35117,299.26227,1.0,416.3309,342.812,0.9826489,419.685,361.65585,1.0,408.61505,407.17773,0.7378547,407.08392,425.32642,0.88861,433.09018,230.24854,1.0,450.82712,377.5138,1.0,314.26648,225.77185,0.8964713,338.31134,372.98206,0.9875123
33,391.65845,221.3768,0.9924678,386.7117,239.57292,1.0,418.00415,299.24066,1.0,416.41284,343.12195,0.98251396,419.74094,361.86606,1.0,408.0319,406.77887,0.6883717,406.6217,425.43707,0.84125173,433.12357,230.13232,1.0,450.74994,377.28754,0.9680805,314.42026,225.30956,0.90035504,338.384,372.6822,0.9717729
