scorer,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
20,358.54477,193.37245,0.86384505,358.55988,209.18672,0.8351312,400.40344,251.95746,0.8604361,411.0114,281.53442,0.7487158,417.20496,298.88116,0.7787526,433.7359,336.62857,0.6142913,429.15356,349.17816,0.44280583,406.15506,200.04842,0.8715626,456.6393,321.8636,0.76734865,284.8682,218.24237,0.8851013,342.22144,352.97253,0.88996536
21,358.68048,193.55522,0.8653562,358.82532,209.19199,0.85176367,401.08777,251.6799,0.8638812,412.46185,281.94562,0.73387766,417.77966,299.10867,0.764044,434.40607,337.29126,0.6267066,438.7178,349.4642,0.43009588,406.5203,200.04407,0.8639751,456.53424,321.75577,0.7746085,284.46173,217.7935,0.8954985,342.35526,352.44635,0.8886923
22,358.56436,193.63452,0.8502864,358.66733,209.4131,0.8299427,401.2208,251.59036,0.8554278,411.3104,281.4123,0.7291074,417.3302,298.8134,0.74714535,434.09488,337.13397,0.62321323,438.78357,349.47693,0.42187542,406.39127,200.1188,0.86784047,457.0754,322.8907,0.7929646,284.74588,217.56355,0.8762387,341.67117,352.1853,0.8665577
23,358.37735,193.49962,0.86003107,359.07028,209.01643,0.83258706,401.54498,252.17136,0.86349434,411.55563,281.2694,0.7362699,417.38373,298.53497,0.7536055,433.6783,337.18744,0.6239534,438.38477,349.477,0.4245854,406.59006,200.02502,0.85429984,457.12238,323.18893,0.76787215,284.7115,217.61792,0.8867827,342.42627,352.51373,0.862647
24,358.68542,194.0242,0.86680037,358.77985,209.82057,0.82869726,403.10904,247.15672,0.87344724,411.57217,281.3546,0.75169605,417.34134,298.8275,0.7795701,433.4157,336.84442,0.55223644,423.10757,352.85297,0.4631551,406.36728,200.5971,0.8870226,456.31638,321.48013,0.6945246,285.40787,218.94527,0.93485504,340.97064,352.70096,0.85784376
25,358.44467,194.3669,0.863532,358.43546,209.96869,0.8483315,403.1703,246.57294,0.87471867,412.9221,281.43518,0.73053175,418.17468,298.64224,0.78734744,433.70917,337.37555,0.5665597,423.77066,353.60602,0.4277571,406.17535,200.7048,0.88468355,456.66837,321.66663,0.7462985,285.41852,218.79144,0.92435515,341.22455,351.7496,0.88234067
26,358.89954,194.20883,0.85101354,358.87256,209.55501,0.8420619,401.73276,252.0282,0.861129,412.7375,281.341,0.72911054,418.01843,298.58353,0.78888583,433.77924,337.3197,0.56965923,423.86,353.12405,0.450871,406.07434,200.17937,0.884323,457.3409,322.30115,0.76509523,285.71173,218.50824,0.93702877,340.54715,351.4209,0.9144095
27,358.58066,194.12857,0.8323891,358.66858,209.57404,0.8185103,401.34076,252.21365,0.84220856,413.0348,281.373,0.73045844,418.1285,298.47748,0.8306408,433.31723,336.7316,0.60452366,429.93423,349.17303,0.45572463,406.172,200.08194,0.8901034,457.3716,321.8758,0.75544196,285.83987,218.26556,0.91152245,341.88898,350.71356,0.88364947
28,358.7228,194.16675,0.8333897,358.86707,209.64503,0.81499004,401.96783,252.37968,0.8475192,413.55582,281.6671,0.75443745,418.40802,298.79517,0.8479973,433.93274,336.10623,0.63023883,438.27274,348.54218,0.46895185,406.7508,200.222,0.88656753,457.04126,321.66232,0.7453884,286.3137,218.51532,0.91769576,342.0471,350.37164,0.9012667
29,358.83398,194.20612,0.81694293,359.12888,209.65727,0.8052666,402.2474,252.18031,0.8471635,413.58514,281.51666,0.7423344,418.21292,298.48917,0.83488363,433.56726,336.54364,0.6215094,425.62225,352.9281,0.4810042,406.5573,199.7493,0.9020633,457.30563,321.70166,0.7497905,286.12076,217.80533,0.904528,344.09457,351.483,0.90383697
